省内频道,#genre#
都市频道【移动】,http://39.134.221.16/wh7f454c46tw3902997973_-305980626/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
http://39.134.221.17:80/wh7f454c46tw701473603_119038331/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226430/1.m3u8
民生频道,http://39.134.221.56/wh7f454c46tw4133232774_1404744452/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
法治频道,http://39.134.221.33/wh7f454c46tw81361533_-770746109/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226435/1.m3u8
公共频道,http://39.134.213.98/wh7f454c46tw311511867_-2110985795/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226441/1.m3u8
明星频道,#genre#
周星驰,http://182.40.120.171/test-txdwk.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
林正英,http://182.40.120.171/test-txdwk.flv.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.m3u8
发哥,http://1.94.31.214:35455/huya/11342387
成龙,http://182.40.120.195/test-txdwk.flv.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1.m3u8
王晶,http://182.40.120.194/test-txdwk.flv.huya.com/src/1524434111-1524434111-6547394651651833856-3048991678-10057-A-0-1.m3u8
沈腾,http://182.40.120.213/test-txdwk.flv.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1.m3u8
黄渤,http://1.94.31.214:35455/huya/11352876
强森,http://1.94.31.214:35455/huya/21059581
漫威,http://1.94.31.214:35455/huya/11602034
宇宙,http://1.94.31.214:35455/huya/11342428
怪兽,http://1.94.31.214:35455/huya/21059577
武侠,http://1.94.31.214:35455/huya/11342427
警匪,http://1.94.31.214:35455/huya/11352886
罪犯,http://1.94.31.214:35455/huya/11352962
枪战,http://1.94.31.214:35455/huya/21059579
电影频道,#genre#
动作电影,http://123.10.77.121:808/hls/97/index.m3u8
CHC影迷电影,http://39.165.81.230:85/tsfile/live/1061_1.m3u8?key=txiptv&playlive=0&authid=0
CHC家庭影院,http://123.10.77.11:808/hls/99/index.m3u8
